Date,Open,High,Low,Close,Adj Close,Volume
2022-03-23,38.250000,38.250000,36.750000,37.000000,37.000000,235051
2022-03-24,36.750000,37.500000,36.000000,37.500000,37.500000,143459
2022-03-25,37.500000,37.500000,36.750000,37.500000,37.500000,81637
2022-03-28,37.000000,37.000000,35.500000,36.000000,36.000000,170608
2022-03-29,36.250000,37.875000,36.125000,37.500000,37.500000,168643
2022-03-30,37.500000,37.500000,36.500000,36.500000,36.500000,123060
2022-03-31,37.000000,37.000000,35.500000,36.000000,36.000000,204178
2022-04-01,36.000000,36.375000,35.000000,35.750000,35.750000,163838
2022-04-04,35.750000,36.750000,35.500000,36.750000,36.750000,150283
2022-04-05,36.250000,36.750000,35.000000,35.500000,35.500000,148372
2022-04-06,35.500000,35.500000,34.000000,34.750000,34.750000,157870
2022-04-07,35.000000,35.250000,33.750000,34.500000,34.500000,111948
2022-04-08,34.500000,35.000000,34.000000,34.750000,34.750000,93383
2022-04-11,34.500000,35.000000,33.750000,34.750000,34.750000,85631
2022-04-12,34.750000,35.750000,34.500000,35.000000,35.000000,98379
2022-04-13,35.250000,36.125000,35.000000,35.500000,35.500000,120589
2022-04-14,36.000000,36.250000,35.500000,35.750000,35.750000,81918
2022-04-18,35.750000,36.000000,34.750000,35.750000,35.750000,108916
2022-04-19,35.500000,37.000000,35.250000,36.750000,36.750000,163172
2022-04-20,37.000000,37.250000,36.000000,36.000000,36.000000,115196
2022-04-21,36.500000,36.625000,35.000000,35.250000,35.250000,132804
2022-04-22,34.750000,35.125000,33.750000,34.250000,34.250000,159779
2022-04-25,33.750000,34.250000,32.250000,34.000000,34.000000,174387
2022-04-26,33.750000,33.750000,31.000000,31.250000,31.250000,286021
2022-04-27,31.500000,32.500000,30.875000,31.000000,31.000000,169745
2022-04-28,31.750000,32.500000,31.000000,32.500000,32.500000,165089
2022-04-29,31.750000,32.750000,31.250000,31.500000,31.500000,92226
2022-05-02,31.500000,32.000000,30.500000,31.250000,31.250000,98020
2022-05-03,31.000000,31.250000,30.500000,31.000000,31.000000,161704
2022-05-04,31.250000,33.250000,30.750000,33.000000,33.000000,355694
2022-05-05,33.000000,33.000000,30.250000,30.250000,30.250000,330482
2022-05-06,31.000000,31.750000,30.000000,31.750000,31.750000,324280
2022-05-09,31.250000,31.250000,28.250000,28.750000,28.750000,337486
2022-05-10,29.250000,30.000000,27.500000,28.000000,28.000000,216128
2022-05-11,27.750000,29.125000,27.250000,27.500000,27.500000,201957
2022-05-12,26.250000,28.375000,26.250000,27.250000,27.250000,250379
2022-05-13,28.000000,28.750000,27.500000,28.500000,28.500000,179542
2022-05-16,28.250000,29.750000,28.250000,29.000000,29.000000,226632
2022-05-17,29.750000,31.250000,29.000000,31.250000,31.250000,218419
2022-05-18,31.750000,31.750000,29.250000,29.750000,29.750000,180299
2022-05-19,29.000000,30.500000,29.000000,30.250000,30.250000,171338
2022-05-20,30.500000,30.750000,28.000000,28.500000,28.500000,192585
2022-05-24,28.750000,29.250000,28.250000,28.250000,28.250000,162944
2022-05-25,29.000000,29.500000,28.500000,29.250000,29.250000,127111
2022-05-26,29.250000,30.250000,29.250000,30.250000,30.250000,178519
2022-05-27,30.750000,30.750000,30.000000,30.500000,30.500000,83149
2022-05-30,31.000000,31.500000,30.750000,31.250000,31.250000,100750
2022-05-31,31.250000,31.250000,29.500000,29.750000,29.750000,219600
2022-06-01,30.250000,31.000000,29.750000,30.500000,30.500000,155042
2022-06-02,30.250000,31.250000,30.250000,31.000000,31.000000,110927
2022-06-03,30.750000,31.000000,30.250000,30.750000,30.750000,81431
2022-06-06,31.000000,31.000000,30.250000,30.500000,30.500000,106022
2022-06-07,30.250000,30.375000,29.750000,30.250000,30.250000,83831
2022-06-08,30.000000,30.000000,29.250000,29.750000,29.750000,125448
2022-06-09,29.250000,29.250000,27.750000,27.750000,27.750000,181808
2022-06-10,27.750000,28.250000,26.250000,28.250000,28.250000,264145
2022-06-13,24.760000,26.860001,23.330000,26.860001,26.860001,411184
2022-06-14,26.430000,26.450001,21.559999,21.969999,21.969999,992424
2022-06-15,22.110001,26.360001,22.110001,26.000000,26.000000,1033419
2022-06-16,24.200001,26.650000,24.110001,26.139999,26.139999,766946
2022-06-17,26.549999,27.780001,25.030001,26.969999,26.969999,1978170
2022-06-20,26.400000,27.129999,25.180000,25.370001,25.370001,231935
2022-06-21,25.450001,25.450001,23.469999,24.010000,24.010000,393588
2022-06-22,23.480000,24.120001,23.004999,23.160000,23.160000,507406
2022-06-23,23.500000,24.400000,22.500000,22.620001,22.620001,550947
2022-06-24,22.639999,23.490000,22.450001,23.110001,23.110001,240218
2022-06-27,23.320000,23.320000,18.900000,19.120001,19.120001,1846051
2022-06-28,19.750000,20.400000,18.900000,19.410000,19.410000,956866
2022-06-29,19.280001,20.100000,18.670000,19.670000,19.670000,405640
2022-06-30,19.059999,19.680000,18.740000,19.320000,19.320000,394551
2022-07-04,19.510000,19.820000,18.600000,19.650000,19.650000,226179
2022-07-05,19.420000,19.700001,18.620001,19.639999,19.639999,288802
2022-07-06,19.209999,19.610001,18.430000,18.639999,18.639999,327036
2022-07-07,18.760000,20.160000,18.639999,19.520000,19.520000,561268
2022-07-08,19.459999,20.570000,19.420000,19.600000,19.600000,342793
2022-07-11,19.350000,19.360001,18.360001,18.430000,18.430000,376294
2022-07-12,18.299999,20.209999,18.299999,19.750000,19.750000,491781
2022-07-13,19.709999,20.250000,19.129999,19.930000,19.930000,412650
2022-07-14,19.549999,19.709999,19.120001,19.650000,19.650000,298668
2022-07-15,19.760000,19.850000,19.090000,19.290001,19.290001,315225
2022-07-18,19.770000,21.500000,19.549999,20.450001,20.450001,534289
2022-07-19,20.570000,22.450001,20.490000,22.270000,22.270000,486954
2022-07-20,22.090000,22.830000,22.059999,22.639999,22.639999,366783
2022-07-21,22.549999,22.680000,22.070000,22.290001,22.290001,193525
2022-07-22,22.490000,22.490000,21.200001,21.340000,21.340000,263687
2022-07-25,21.459999,21.500000,20.850000,21.170000,21.170000,178333
2022-07-26,21.100000,21.219999,20.270000,20.500000,20.500000,236296
2022-07-27,20.660000,21.200001,20.309999,20.870001,20.870001,169730
2022-07-28,20.820000,21.549999,20.320000,21.469999,21.469999,239479
2022-07-29,21.360001,21.459999,20.934999,21.410000,21.410000,207199
2022-08-02,21.150000,22.280001,21.150000,21.590000,21.590000,223919
2022-08-03,21.990000,23.600000,21.969999,23.430000,23.430000,469154
2022-08-04,23.940001,26.580000,23.940001,25.870001,25.870001,917232
2022-08-05,25.500000,28.500000,25.500000,28.270000,28.270000,597303
2022-08-08,29.490000,30.750000,29.280001,30.059999,30.059999,675129
2022-08-09,30.070000,30.290001,28.990000,29.480000,29.480000,347612
2022-08-10,30.170000,33.680000,30.030001,33.459999,33.459999,654178
2022-08-11,33.799999,34.410000,32.119999,32.650002,32.650002,615021
2022-08-12,32.799999,33.380001,32.150002,32.669998,32.669998,452561
2022-08-15,32.590000,34.439999,32.459999,33.900002,33.900002,546543
2022-08-16,33.750000,34.549999,33.450001,34.139999,34.139999,356065
2022-08-17,34.080002,34.080002,32.680000,32.900002,32.900002,492926
2022-08-18,32.779999,33.180000,32.230000,32.680000,32.680000,245364
2022-08-19,32.090000,32.380001,31.530001,31.920000,31.920000,248689
2022-08-22,30.990000,31.530001,30.600000,31.379999,31.379999,228122
2022-08-23,31.120001,31.860001,31.000000,31.500000,31.500000,320120
2022-08-24,31.410000,32.520000,31.350000,32.029999,32.029999,273813
2022-08-25,32.380001,33.450001,32.250000,32.500000,32.500000,322708
2022-08-26,32.360001,32.720001,31.080000,31.389999,31.389999,304894
2022-08-29,30.629999,31.950001,30.600000,31.690001,31.690001,235973
2022-08-30,31.799999,32.619999,31.530001,32.049999,32.049999,352273
2022-08-31,32.240002,33.099998,32.040001,32.680000,32.680000,360214
2022-09-01,32.160000,32.630001,31.150000,31.760000,31.760000,301870
2022-09-02,32.410000,32.410000,30.719999,30.850000,30.850000,321722
2022-09-06,30.780001,31.370001,30.110001,30.799999,30.799999,338047
2022-09-07,30.610001,32.290001,30.610001,32.169998,32.169998,303829
2022-09-08,31.430000,33.099998,31.309999,32.810001,32.810001,403136
2022-09-09,32.980000,34.389999,32.970001,34.180000,34.180000,475431
2022-09-12,34.189999,34.950001,33.740002,34.070000,34.070000,463000
2022-09-13,33.439999,34.080002,32.660000,33.139999,33.139999,346583
2022-09-14,33.240002,34.230000,32.650002,34.150002,34.150002,407866
2022-09-15,33.930000,35.090000,33.380001,33.650002,33.650002,431206
2022-09-16,32.990002,33.240002,32.090000,32.160000,32.160000,655681
2022-09-19,32.000000,32.619999,31.709999,32.330002,32.330002,278401
